task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	9c/9f6d35	1159376	NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY	CACHED	0	2025-06-11 16:51:54.301	6.5s	4.4s	100.1%	4.9 MB	9.8 MB	134.6 MB	652.4 MB
2	f2/cb44d2	245665	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K10MK)	CACHED	0	2025-06-12 11:08:23.230	1.1s	15ms	151.0%	2.9 MB	3.9 MB	131.4 KB	910 B
3	13/593831	246136	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K10MK)	CACHED	0	2025-06-12 11:08:24.374	5.2s	4s	506.4%	503.1 MB	28.5 GB	2 GB	1.9 GB
4	67/4472dd	246143	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K10MK)	CACHED	0	2025-06-12 11:08:24.383	13.4s	11s	208.7%	1.3 GB	6.7 GB	361.9 MB	6.5 MB
5	2d/d0aee8	247929	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K10MK)	CACHED	0	2025-06-12 11:08:29.652	4.5s	3s	421.1%	515.5 MB	28.5 GB	1.8 GB	1.8 GB
6	77/240542	248236	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K11MK)	CACHED	0	2025-06-12 11:08:30.155	943ms	17ms	104.3%	3 MB	3.9 MB	131.4 KB	910 B
7	0e/65d0d7	249494	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K11MK)	CACHED	0	2025-06-12 11:08:34.153	12.2s	11s	213.5%	1.4 GB	6.7 GB	337.9 MB	6.4 MB
8	c7/358fd7	250250	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K11MK)	CACHED	0	2025-06-12 11:08:37.784	4.8s	4s	524.8%	506.3 MB	28.5 GB	1.8 GB	1.8 GB
9	02/8711ed	254616	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K11MK)	CACHED	0	2025-06-12 11:08:51.547	4.3s	3s	409.9%	519 MB	28.5 GB	1.7 GB	1.7 GB
10	df/7eef97	250321	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K12MK)	CACHED	0	2025-06-12 11:08:37.896	965ms	19ms	99.9%	2.9 MB	3.9 MB	131.4 KB	909 B
12	b2/ca3238	251948	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K12MK)	CACHED	0	2025-06-12 11:08:42.594	13.1s	11s	215.0%	1.3 GB	6.7 GB	372.5 MB	6.4 MB
11	3b/4eb9ba	252753	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K12MK)	CACHED	0	2025-06-12 11:08:46.338	5.2s	4s	531.9%	500.3 MB	28.5 GB	2 GB	2 GB
13	67/6bd0ad	258518	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K12MK)	CACHED	0	2025-06-12 11:09:01.211	4.6s	3s	419.7%	509.6 MB	28.5 GB	1.9 GB	1.9 GB
14	1a/376b9b	252762	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K13MK)	CACHED	0	2025-06-12 11:08:46.348	1s	15ms	118.9%	2.8 MB	3.9 MB	131.4 KB	910 B
16	fc/9d138f	256301	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K13MK)	CACHED	0	2025-06-12 11:08:55.719	13.2s	11s	220.2%	1.3 GB	6.3 GB	391.8 MB	6.4 MB
15	68/b82e0d	256352	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K13MK)	CACHED	0	2025-06-12 11:08:55.891	5.3s	5s	522.5%	508.1 MB	28.5 GB	2.1 GB	2.1 GB
17	fc/1976d6	264877	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K13MK)	CACHED	0	2025-06-12 11:09:17.614	5.1s	3s	431.5%	516.8 MB	28.5 GB	2 GB	2 GB
18	28/dead60	255087	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K14MK)	CACHED	0	2025-06-12 11:08:52.554	1.1s	19ms	69.5%	3 MB	3.9 MB	131.4 KB	909 B
20	73/d325c9	261456	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K14MK)	CACHED	0	2025-06-12 11:09:08.922	4.7s	4s	537.3%	503.2 MB	28.5 GB	1.7 GB	1.7 GB
19	68/3384d1	260224	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K14MK)	CACHED	0	2025-06-12 11:09:05.847	11.2s	9s	229.3%	1.3 GB	6.5 GB	306.6 MB	6.4 MB
21	e8/863858	271564	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K14MK)	CACHED	0	2025-06-12 11:09:45.395	4.5s	3s	422.1%	513 MB	28.5 GB	1.6 GB	1.6 GB
22	75/10ee96	257213	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K15MK)	CACHED	0	2025-06-12 11:08:57.902	953ms	18ms	130.8%	2.9 MB	3.9 MB	131.4 KB	910 B
23	53/f01c76	263128	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K15MK)	CACHED	0	2025-06-12 11:09:13.678	3.9s	3s	528.3%	488.6 MB	28.5 GB	1.2 GB	1.1 GB
24	dd/857445	264367	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K15MK)	CACHED	0	2025-06-12 11:09:17.023	9.3s	8s	224.9%	1.3 GB	6.6 GB	211.3 MB	6.4 MB
25	f2/de4ec9	272103	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K15MK)	CACHED	0	2025-06-12 11:09:47.605	3.6s	3s	391.9%	510.1 MB	28.5 GB	1 GB	1 GB
26	1c/6de135	258962	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K16MK)	CACHED	0	2025-06-12 11:09:02.221	894ms	18ms	65.0%	3 MB	3.9 MB	131.4 KB	909 B
28	39/2414a0	267173	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K16MK)	CACHED	0	2025-06-12 11:09:26.373	10.5s	8s	217.6%	1.3 GB	6.5 GB	246.2 MB	6.4 MB
27	64/2665db	266292	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K16MK)	CACHED	0	2025-06-12 11:09:22.751	4.5s	3s	499.9%	499.5 MB	28.5 GB	1.3 GB	1.3 GB
29	1b/2d8278	274812	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K16MK)	CACHED	0	2025-06-12 11:09:55.708	4s	3s	394.7%	509.9 MB	28.5 GB	1.2 GB	1.2 GB
30	dc/5d06f3	260577	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K17MK)	CACHED	0	2025-06-12 11:09:06.856	999ms	18ms	98.0%	3 MB	3.9 MB	131.4 KB	909 B
31	78/44d9f4	267723	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K17MK)	CACHED	0	2025-06-12 11:09:27.288	4.1s	3s	496.4%	503.3 MB	28.5 GB	1.2 GB	1.2 GB
32	2a/887804	268734	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K17MK)	CACHED	0	2025-06-12 11:09:31.379	9.6s	7s	207.1%	1.2 GB	6.5 GB	215.1 MB	6.5 MB
33	3e/d4b11c	276079	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K17MK)	CACHED	0	2025-06-12 11:09:59.694	3.8s	3s	370.7%	507.7 MB	28.5 GB	1.1 GB	1.1 GB
34	cb/b1ab5d	262289	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K18MK)	CACHED	0	2025-06-12 11:09:11.934	982ms	17ms	71.8%	2.8 MB	3.9 MB	131.4 KB	909 B
35	e8/369de5	270376	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K18MK)	CACHED	0	2025-06-12 11:09:40.972	4.4s	3s	490.4%	500.9 MB	28.5 GB	1.3 GB	1.3 GB
36	27/6328b9	269693	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K18MK)	CACHED	0	2025-06-12 11:09:36.910	10.7s	8s	205.0%	1.3 GB	6.7 GB	234.1 MB	6.5 MB
37	5d/0af3f8	276562	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K18MK)	CACHED	0	2025-06-12 11:10:00.616	4.3s	2s	366.0%	512.2 MB	28.5 GB	1.2 GB	1.2 GB
38	9a/483bc7	263995	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K19MK)	CACHED	0	2025-06-12 11:09:16.688	1.2s	15ms	77.2%	2.9 MB	3.9 MB	131.4 KB	909 B
40	fb/ae5f53	273570	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K19MK)	CACHED	0	2025-06-12 11:09:51.231	4.5s	3s	494.7%	494.9 MB	28.5 GB	1.3 GB	1.2 GB
39	79/96aff4	273015	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K19MK)	CACHED	0	2025-06-12 11:09:49.901	10.7s	9s	198.2%	1.3 GB	6.6 GB	229.5 MB	6.5 MB
41	02/fc60c1	277624	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K19MK)	CACHED	0	2025-06-12 11:10:03.459	4.1s	2s	380.6%	510.1 MB	28.5 GB	1.2 GB	1.2 GB
42	23/4f0d79	275649	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K1MK)	CACHED	0	2025-06-12 11:09:58.716	1.5s	24ms	81.4%	2.9 MB	3.9 MB	131.4 KB	909 B
44	bd/6b1862	278999	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K1MK)	CACHED	0	2025-06-12 11:10:07.614	3.2s	2s	392.7%	453.7 MB	24.9 GB	605 MB	583.6 MB
43	c9/bab372	278106	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K1MK)	CACHED	0	2025-06-12 11:10:04.968	6.9s	4s	257.5%	869.5 MB	6.4 GB	101.1 MB	6.4 MB
45	0f/4ba4f6	279856	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K1MK)	CACHED	0	2025-06-12 11:10:10.868	3.2s	1s	294.2%	146.3 MB	7.2 GB	570.3 MB	562.2 MB
46	f9/ec192f	280717	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K20MK)	CACHED	0	2025-06-12 11:10:38.605	1.2s	18ms	94.2%	3 MB	3.9 MB	131.4 KB	909 B
48	92/25475f	281126	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K20MK)	CACHED	0	2025-06-12 11:10:39.854	7.7s	6s	246.1%	834.3 MB	6.5 GB	140.9 MB	6.4 MB
47	0e/6cc270	281133	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K20MK)	CACHED	0	2025-06-12 11:10:39.861	3.6s	2s	447.7%	488 MB	28.5 GB	741 MB	709.2 MB
49	47/cbd99e	282308	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K20MK)	CACHED	0	2025-06-12 11:10:43.464	3.5s	1s	327.8%	514.6 MB	28.5 GB	673.3 MB	665.2 MB
50	5f/c72929	283338	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K21MK)	CACHED	0	2025-06-12 11:11:19.039	927ms	19ms	95.4%	2.8 MB	3.9 MB	131.4 KB	909 B
51	23/9f7222	283799	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K21MK)	CACHED	0	2025-06-12 11:11:19.994	3.2s	3s	436.5%	491.2 MB	28.5 GB	773.4 MB	741.9 MB
52	2e/dd28f0	283801	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K21MK)	CACHED	0	2025-06-12 11:11:19.999	7.3s	5s	237.9%	825.6 MB	6.5 GB	145 MB	6.5 MB
53	bf/4c0527	285321	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K21MK)	CACHED	0	2025-06-12 11:11:23.221	3s	2s	318.6%	507 MB	28.5 GB	712.7 MB	704.6 MB
54	72/f5e7b6	284957	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K22MK)	CACHED	0	2025-06-12 11:11:22.683	995ms	16ms	71.4%	2.9 MB	3.9 MB	131.4 KB	909 B
55	21/93f4cb	287295	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K22MK)	CACHED	0	2025-06-12 11:11:27.300	3.5s	2s	444.5%	496.1 MB	28.5 GB	939.2 MB	907.7 MB
56	76/092b1d	286386	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K22MK)	CACHED	0	2025-06-12 11:11:26.195	8.2s	7s	235.4%	1.3 GB	6.5 GB	172.5 MB	6.4 MB
57	a9/873b99	289797	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K22MK)	CACHED	0	2025-06-12 11:11:34.383	3.3s	2s	337.3%	509.9 MB	28.5 GB	882.2 MB	874.1 MB
58	d1/1e7a14	286388	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K23MK)	CACHED	0	2025-06-12 11:11:26.201	936ms	18ms	96.6%	2.9 MB	3.9 MB	131.4 KB	909 B
59	6e/42170e	289732	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K23MK)	CACHED	0	2025-06-12 11:11:34.269	8.2s	7s	212.7%	1.4 GB	6.7 GB	161.4 MB	6.6 MB
60	6f/1b79a3	288637	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K23MK)	CACHED	0	2025-06-12 11:11:30.779	3.5s	3s	460.4%	495.8 MB	28.5 GB	961.2 MB	927.9 MB
61	cf/98fb2b	293207	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K23MK)	CACHED	0	2025-06-12 11:11:42.471	3.3s	2s	355.5%	509.8 MB	28.5 GB	896.5 MB	888.4 MB
62	56/541174	288241	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K24MK)	CACHED	0	2025-06-12 11:11:30.309	924ms	18ms	136.5%	2.9 MB	3.9 MB	131.4 KB	910 B
63	2f/7b0cb0	291359	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K24MK)	CACHED	0	2025-06-12 11:11:37.662	3.7s	3s	459.2%	495.7 MB	28.5 GB	1 GB	1 GB
64	19/418d85	292866	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K24MK)	CACHED	0	2025-06-12 11:11:41.405	8.6s	6s	234.2%	1.2 GB	6.5 GB	189.8 MB	6.5 MB
65	29/b2c011	297740	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K24MK)	CACHED	0	2025-06-12 11:11:55.603	3.3s	2s	370.9%	508.4 MB	28.5 GB	998.1 MB	989.9 MB
66	8e/6473fe	289710	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K25MK)	CACHED	0	2025-06-12 11:11:34.241	1s	17ms	104.2%	3 MB	3.9 MB	131.4 KB	910 B
67	2f/b35194	295411	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K25MK)	CACHED	0	2025-06-12 11:11:49.974	3.3s	3s	468.2%	498.7 MB	28.5 GB	852.9 MB	820.1 MB
68	3a/c6e224	294447	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K25MK)	CACHED	0	2025-06-12 11:11:45.779	8.2s	6s	225.1%	1.3 GB	6.4 GB	156.4 MB	6.4 MB
69	6e/dc2e4d	302232	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K25MK)	CACHED	0	2025-06-12 11:12:05.893	3s	2s	341.8%	503.4 MB	28.5 GB	784.2 MB	776.2 MB
70	59/48e4a4	291366	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K26MK)	CACHED	0	2025-06-12 11:11:37.668	1.2s	18ms	133.2%	2.9 MB	3.9 MB	131.4 KB	910 B
72	b5/538d40	296677	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K26MK)	CACHED	0	2025-06-12 11:11:53.259	2.3s	1s	202.9%	24.6 MB	33 MB	150.1 MB	136.4 MB
71	17/b76c82	297054	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K26MK)	CACHED	0	2025-06-12 11:11:53.972	5.1s	3s	218.0%	441.7 MB	6.5 GB	38.9 MB	6.5 MB
73	7e/79909b	303442	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K26MK)	CACHED	0	2025-06-12 11:12:08.930	2s	1s	175.5%	12.3 MB	19.9 MB	133.9 MB	125.9 MB
74	c6/1a7841	294119	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K27MK)	CACHED	0	2025-06-12 11:11:45.491	1.1s	28ms	50.5%	2.8 MB	3.9 MB	131.4 KB	909 B
76	76/fccaa2	298969	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K27MK)	CACHED	0	2025-06-12 11:11:58.938	5.2s	3s	225.2%	487.3 MB	6.4 GB	47.9 MB	6.5 MB
75	7e/c47a70	299001	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K27MK)	CACHED	0	2025-06-12 11:11:59.106	2.5s	1s	253.0%	20.6 MB	27.9 MB	203.7 MB	186.8 MB
77	af/d68db0	307060	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K27MK)	CACHED	0	2025-06-12 11:12:20.299	2.2s	1s	189.1%	12.1 MB	19.9 MB	177.5 MB	169.5 MB
78	8a/6af1ef	295837	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K28MK)	CACHED	0	2025-06-12 11:11:50.982	899ms	18ms	130.4%	2.9 MB	3.9 MB	131.4 KB	910 B
79	6e/6e9182	300139	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K28MK)	CACHED	0	2025-06-12 11:12:01.608	4.3s	3s	514.2%	506.1 MB	28.5 GB	1.5 GB	1.5 GB
80	4e/21a1c4	301551	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K28MK)	CACHED	0	2025-06-12 11:12:04.143	11.2s	10s	226.7%	1.4 GB	6.5 GB	281.2 MB	6.4 MB
81	8a/90671c	309648	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K28MK)	CACHED	0	2025-06-12 11:12:27.083	3.8s	2s	406.3%	505.1 MB	28.5 GB	1.4 GB	1.4 GB
82	78/e564b7	298532	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K29MK)	CACHED	0	2025-06-12 11:11:58.612	1.1s	18ms	93.5%	2.8 MB	3.9 MB	131.4 KB	909 B
83	53/00a4ca	304005	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K29MK)	CACHED	0	2025-06-12 11:12:10.967	12.1s	10s	221.6%	1.3 GB	6.3 GB	345.2 MB	6.5 MB
84	b5/9fb410	305292	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K29MK)	CACHED	0	2025-06-12 11:12:15.390	4.9s	4s	542.3%	502.2 MB	28.5 GB	1.9 GB	1.8 GB
85	8d/c0bf61	318274	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K29MK)	CACHED	0	2025-06-12 11:12:50.731	4.3s	3s	419.9%	519.9 MB	28.5 GB	1.7 GB	1.7 GB
